"name"|"offerID"
"HP OMEN X 17.3in LCD Notebook Intel Core i7 16GB RAM 1TB HDD 256GB SSD"|"antonline_260"
"Lenovo?ThinkPad P52s 20LB 8th Gen Intel Core i7 8650U / 1.9 GHz - Win 10 Pro 64-bit - 16 GB RAM - 1 TB SSD TCG Opal Encryption 2 NVMe - 15.6in IPS 1920 x 1080 (Full HD) - Quadro P500 / UHD Graphics 620 - Wi-Fi Bluetooth - WWAN upgradable - Black?(20LB0019US)"|"pcmg_416"
"HP ZBook 15 G4 15.6in LCD Mobile Workstation"|"antonline_340"
"Hewlett Packard 11-v010nr 11.6in HD Chromebook - Intel Celeron N3060 Processor"|"buydig_14"
"Lenovo?ThinkPad X1 Yoga 20LD Flip design 8th Gen Intel Core i5-8350U Quad-Core 1.7GHz - 16GB RAM 256GB SSD TCG Opal Encryption 2 NVMe 14in IPS touchscreen 1920 x 1080 (Full HD) UHD Graphics 620 Wi-Fi Bluetooth Microsoft Windows 10 Pro 64-bit - Black?(20LD001DUS)"|"macmall_373"
"Lenovo?ThinkPad X1 Carbon 20KH - Ultrabook - Core i5 8250U / 1.6 GHz - Win 10 Pro 64-bit - 8 GB RAM - 256 GB SSD TCG Opal Encryption 2 NVMe - 14in IPS 1920 x 1080 (Full HD) - UHD Graphics 620 - Wi-Fi Bluetooth - black?(20KH002SUS)"|"pcmg_430"
"Lenovo - ThinkPad X1 Carbon 14in Laptop - Intel Core i5 - 8GB Memory - 256GB Solid State Drive - Black"|"bestbuy_821"
"HP - EliteBook 14in Laptop - Intel Core i7 - 16GB Memory - 512GB Solid State Drive - Silver"|"bestbuy_617"
"HP ZBook Studio G4 15.6in LCD Mobile Workstation"|"antonline_341"
"HP 250 G6"|"howardcomputer_2277"
"Hewlett Packard 745G5 R7-2700U 14 8GB/256 PC"|"buydig_162"
"ASUS ROG Strix Scar Edition GL703GS-DS74 17.3in Gaming Laptop"|"antonline_845"
"Lenovo - ThinkPad T480s 14in Laptop - Intel Core i7 - 16GB Memory - 512GB Solid State Drive - Black"|"bestbuy_816"
"Lenovo ThinkPad E580 20KS"|"howardcomputer_821"
"Lenovo - ThinkPad E580 15.6in Laptop - Intel Core i5 - 8GB Memory - 256GB Solid State Drive - Black Black"|"bestbuy_803"
"Lenovo ThinkPad E580 20KS003QUS 15.6in LCD Notebook"|"antonline_876"
"Lenovo?ThinkPad E580 20KS - Core i5 7200U / 2.5 GHz - Win 10 Pro 64-bit - 8 GB RAM - 256 GB SSD TCG Opal Encryption 2 NVMe - 15.6in IPS 1920 x 1080 (Full HD) - HD Graphics 620 - Wi-Fi Bluetooth - black (LCD cover) black (top cover)?(20KS003QUS)"|"pcmg_478"
"Lenovo - ThinkPad T480 14in Laptop - Intel Core i5 - 8GB Memory - 500GB Hard Drive - Black"|"bestbuy_812"
"Lenovo 20L5004HUS ThinkPad T480 14&ampquot Laptop Intel Core i5 8GB Memory 500GB Hard Drive Black "|"truecurate_399"
"HP ProBook x360 440 G1 14in Touchscreen LCD 2 in 1 Notebook"|"antonline_174"
"Hewlett Packard PB360 440G1 i58250U 8G 256G 14"|"buydig_277"
"HP Inc.?Smart Buy ProBook 650 G2 Intel Core i5-6300U Dual-Core 2.40GHz Notebook PC - 8GB RAM 500GB HDD 15.6in FHD LED DVD+/-RW SuperMulti Gigabit Ethernet 802.11a/b/g/n Bluetooth Webcam 3-cell (48 WHr) Li-Ion Prismatic?(V1P79UTABA)"|"pcmg_202"
"Hewlett Packard 14in 1040G4 i7-7500U 8GB/512PC"|"buydig_310"
"Lenovo?ThinkPad X1 Yoga 20LD - Flip design - 8th Gen Intel Core i5 8250U / 1.6 GHz - Win 10 Pro 64-bit - 8 GB RAM - 256 GB SSD TCG Opal Encryption 2 NVMe - 14in IPS touchscreen 1920 x 1080 (Full HD) - UHD Graphics 620 - Wi-Fi Bluetooth - black?(20LD001GUS)"|"pcmg_502"
"15.6in IdeaPad 330 Multi-Touch Notebook"|"bhphotovideo_75"
"ASUS - 13.3in Laptop - Intel Core i7 - 8GB Memory - 256GB Solid State Drive - Icicle Gold"|"bestbuy_279"
"Hewlett Packard ZBk3 15 i7 6700 1T 8G W7 10"|"buydig_158"
"HP Inc.?Smart Buy ZBook 15 G3 Intel Core i7-6700HQ Quad-Core 2.60GHz Mobile Workstation - 8GB RAM 1TB HDD 15.6in LED FHD Gigabit Ethernet 802.11ac Bluetooth Webcam TPM + Fingerprint Reader 9-cell 90 Wh Li-Ion Polymer?(V2W06UTABA)"|"macmall_133"
"Hp Commercial Specialty V2W06UtAba Zbk3 15 I7 6700 1T 8G W7 10"|"massgenie_772"
"HP 1GE40UT EliteBook 14&ampquot Laptop Intel Core i5 8GB Memory 256GB Solid State Drive Silver "|"truecurate_3"
"HP - EliteBook 14in Laptop - Intel Core i5 - 8GB Memory - 256GB Solid State Drive - Silver"|"bestbuy_613"
"Lenovo - 17.3in Laptop - Intel Core i5 - 16GB Memory - NVIDIA GeForce GTX 1050 Ti - 1TB Hard Drive + 128GB Solid State Drive - Black"|"bestbuy_724"
"Lenovo?ThinkPad T480 20L5 8th Gen Intel Core i7-8550U Quad-Core 1.80GHz Notebook PC - 8GB RAM 256GB SSD M.2 PCIe NVMe Opal2 14in FHD (1920x1080) IPS Display Intel UHD Graphics 620 Intel 8265ac 2x2 + BT4.1 720p Camera Windows 10 Pro 64 - TopSeller?(20L5000UUS)"|"pcmg_10"
"Lenovo ThinkPad T480 Laptop [20L5000UUS]"|"cukusa_75"
"Dell LATI5490T5Y8D Latitude 14&ampquot Laptop Intel Core i7 8GB Memory 256GB Solid State Drive "|"truecurate_115"
"HP 4TK38UT 645g4 r7-2700u 14 8gb/500 pc"|"savingslots_475"
"Lenovo?ThinkPad E580 20KS 7th Gen Intel Core i3-7020U Dual-Core 2.30GHz Notebook PC - 4GB RAM 500GB HDD 15.6in HD (1366x768) Display Intel HD Graphics 620 Wi-Fi Bluetooth Windows 10 Pro 64-bit - Black?(20KS008JUS)"|"macmall_295"
